Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2018-05-17 20:07:21.205 +0530,"Failure",0:00:01,1,0,0,"20180517_200721.205/LogFile.txt","","STInvalidNumber -- Value is not a number: 'b'",0
2018-05-17 20:08:04.143 +0530,"Failure",0:00:01,1,0,0,"20180517_200804.143/LogFile.txt","","STInvalidNumber -- Value is not a number: 'b'",0
2018-05-17 20:09:43.457 +0530,"Success",0:00:01,0,0,0,"20180517_200943.457/LogFile.txt","","",1
2018-05-17 20:12:51.224 +0530,"Success",0:00:02,0,0,0,"20180517_201251.224/LogFile.txt","","",1
2018-05-17 20:14:09.250 +0530,"Success",0:00:01,0,0,0,"20180517_201409.250/LogFile.txt","","",1
2018-05-17 20:14:54.830 +0530,"Success",0:00:01,0,0,0,"20180517_201454.830/LogFile.txt","","",1
2018-05-17 20:26:26.117 +0530,"Failure",0:00:01,1,0,0,"20180517_202626.117/LogFile.txt","","STInvalidNumber -- Value is not a number: 'b'",0
2018-05-17 20:28:14.146 +0530,"Success",0:00:01,0,0,0,"20180517_202814.146/LogFile.txt","","",1
2018-05-17 20:40:52.910 +0530,"Success",0:00:01,0,0,0,"20180517_204052.910/LogFile.txt","","",1
2018-05-17 20:43:08.970 +0530,"Failure",0:00:00,1,0,0,"20180517_204308.970/LogFile.txt","","SenseTalk Compiler Exception -- in dio_reader:\nSyntax Error at line 56: Syntax Error - can't understand ""Role"" at or near character 1532",0
2018-05-17 20:43:20.455 +0530,"Success",0:00:01,0,0,0,"20180517_204320.455/LogFile.txt","","",1
2018-05-17 20:45:02.489 +0530,"Failure",0:00:00,1,0,0,"20180517_204502.489/LogFile.txt","","SenseTalk Compiler Exception -- in dio_reader:\nSyntax Error at line 56: Syntax Error - can't understand ""Role"" at or near character 1539",0
2018-05-17 20:45:21.323 +0530,"Failure",0:00:00,1,0,0,"20180517_204521.323/LogFile.txt","","SenseTalk Compiler Exception -- in dio_reader:\nSyntax Error at line 56: Syntax Error - can't understand ""Role"" at or near character 1539",0
2018-05-17 20:45:48.356 +0530,"Success",0:00:03,0,0,0,"20180517_204548.356/LogFile.txt","","",1
2018-05-17 20:47:58.774 +0530,"Success",0:00:01,0,0,0,"20180517_204758.774/LogFile.txt","","",1
2018-05-17 20:51:55.915 +0530,"Success",0:00:01,0,0,0,"20180517_205155.915/LogFile.txt","","",1
2018-05-17 20:52:38.419 +0530,"Success",0:00:01,0,0,0,"20180517_205238.419/LogFile.txt","","",1
2018-05-17 20:55:32.554 +0530,"Success",0:00:01,0,0,0,"20180517_205532.554/LogFile.txt","","",1
2018-05-17 20:56:41.232 +0530,"Success",0:00:01,0,0,0,"20180517_205641.232/LogFile.txt","","",1
2018-05-17 20:59:08.343 +0530,"Success",0:00:01,0,0,0,"20180517_205908.343/LogFile.txt","","",1
2018-05-17 20:59:22.808 +0530,"Success",0:00:01,0,0,0,"20180517_205922.808/LogFile.txt","","",1
2018-05-17 21:06:42.373 +0530,"Success",0:00:02,0,0,0,"20180517_210642.373/LogFile.txt","","",1
2018-05-17 21:08:22.282 +0530,"Success",0:00:01,0,0,0,"20180517_210822.282/LogFile.txt","","",1
2018-05-17 21:09:56.545 +0530,"Success",0:00:01,0,0,0,"20180517_210956.545/LogFile.txt","","",1
2018-05-17 21:10:22.721 +0530,"Success",0:00:01,0,0,0,"20180517_211022.721/LogFile.txt","","",1
2018-05-17 21:12:37.968 +0530,"Success",0:00:01,0,0,0,"20180517_211237.968/LogFile.txt","","",1
2018-05-17 21:12:54.098 +0530,"Success",0:00:01,0,0,0,"20180517_211254.098/LogFile.txt","","",1
2018-05-17 21:13:24.623 +0530,"Success",0:00:01,0,0,0,"20180517_211324.623/LogFile.txt","","",1
2018-05-18 11:08:22.908 +0530,"Success",0:00:01,0,0,0,"20180518_110822.908/LogFile.txt","","",1
2018-05-18 11:10:38.341 +0530,"Success",0:00:01,0,0,0,"20180518_111038.341/LogFile.txt","","",1
2018-05-18 11:15:14.818 +0530,"Success",0:00:01,0,0,0,"20180518_111514.818/LogFile.txt","","",1
2018-05-18 17:23:29.205 +0530,"Success",0:00:01,0,0,0,"20180518_172329.205/LogFile.txt","","",1
2018-05-18 17:24:54.868 +0530,"Success",0:00:01,0,0,0,"20180518_172454.868/LogFile.txt","","",1
2018-05-18 17:25:59.900 +0530,"Success",0:00:01,0,0,0,"20180518_172559.900/LogFile.txt","","",1
2018-05-18 17:27:02.345 +0530,"Success",0:00:01,0,0,0,"20180518_172702.345/LogFile.txt","","",1
2018-05-18 17:27:30.451 +0530,"Success",0:00:01,0,0,0,"20180518_172730.451/LogFile.txt","","",1
2018-05-18 17:27:56.841 +0530,"Success",0:00:01,0,0,0,"20180518_172756.841/LogFile.txt","","",1
2018-05-18 17:29:36.265 +0530,"Success",0:00:01,0,0,0,"20180518_172936.265/LogFile.txt","","",1
2018-05-18 17:30:11.813 +0530,"Success",0:00:01,0,0,0,"20180518_173011.813/LogFile.txt","","",1
