Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2018-04-25 10:12:17.011 +0530,"Success",0:00:00,0,0,0,"20180425_101217.011/LogFile.txt","","",1
2018-04-25 10:13:00.713 +0530,"Failure",0:01:00,1,0,1,"20180425_101300.713/LogFile.txt","","Image Not Found -- doubleclick Error - No Image Found On Screen: ""chrome_icon""",0
2018-04-25 10:14:30.293 +0530,"Running",0:00:00,0,0,0,"20180425_101430.293/LogFile.txt","","",0
2018-04-25 10:15:05.442 +0530,"Success",0:00:00,0,0,0,"20180425_101505.442/LogFile.txt","","",1
2018-04-25 10:24:03.289 +0530,"Running",0:00:00,0,0,0,"20180425_102403.289/LogFile.txt","","",0
2018-04-25 10:25:23.467 +0530,"Failure",0:00:23,1,0,1,"20180425_102523.467/LogFile.txt","","Image Not Found -- doubleclick Error - No Image Found On Screen: ""chrome_icon""",0
2018-04-25 11:01:19.089 +0530,"Success",0:00:03,0,0,0,"20180425_110119.089/LogFile.txt","","",1
2018-04-25 11:02:26.299 +0530,"Failure",0:00:08,1,0,1,"20180425_110226.299/LogFile.txt","","Image Not Found -- doubleclick Error - No Image Found On Screen: ""chrome_icon""",0
2018-04-25 11:04:07.192 +0530,"Success",0:00:01,0,0,0,"20180425_110407.192/LogFile.txt","","",1
2018-04-25 11:05:41.607 +0530,"Success",0:00:02,0,0,0,"20180425_110541.607/LogFile.txt","","",1
2018-04-25 11:07:04.096 +0530,"Success",0:00:02,0,0,0,"20180425_110704.096/LogFile.txt","","",1
2018-04-25 11:08:23.060 +0530,"Success",0:00:02,0,0,0,"20180425_110823.060/LogFile.txt","","",1
2018-04-25 11:11:46.668 +0530,"Success",0:00:05,0,0,0,"20180425_111146.668/LogFile.txt","","",1
2018-04-25 11:15:03.493 +0530,"Running",0:00:00,0,0,0,"20180425_111503.493/LogFile.txt","","",0
2018-04-25 11:16:01.823 +0530,"Success",0:00:07,0,0,0,"20180425_111601.823/LogFile.txt","","",1
2018-04-25 11:29:03.495 +0530,"Running",0:00:00,0,0,0,"20180425_112903.495/LogFile.txt","","",0
2018-04-25 11:29:35.376 +0530,"Failure",0:00:23,1,0,1,"20180425_112935.376/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""address_bar""",0
2018-04-25 11:31:53.624 +0530,"Running",0:00:00,0,0,0,"20180425_113153.624/LogFile.txt","","",0
2018-04-25 11:32:09.958 +0530,"Failure",0:00:29,1,0,1,"20180425_113209.958/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""search_bar""",0
2018-04-25 11:33:17.373 +0530,"Failure",0:00:23,1,0,1,"20180425_113317.373/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""address_bar2""",0
2018-04-25 11:36:30.738 +0530,"Failure",0:00:29,1,0,1,"20180425_113630.738/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""search_bar""",0
2018-04-25 11:39:07.720 +0530,"Failure",0:00:32,1,0,1,"20180425_113907.720/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""one_plus""",0
2018-04-25 11:40:55.203 +0530,"Success",0:00:11,0,0,0,"20180425_114055.203/LogFile.txt","","",1
2018-04-25 11:44:00.779 +0530,"Running",0:00:00,0,0,0,"20180425_114400.779/LogFile.txt","","",0
2018-04-25 11:44:43.633 +0530,"Running",0:00:00,0,0,0,"20180425_114443.633/LogFile.txt","","",0
2018-04-25 11:45:49.663 +0530,"Failure",0:01:28,1,0,1,"20180425_114549.663/LogFile.txt","","Image Not Found -- waitfor Error - Unable To Find Any Image On Screen ""one_plus"" within 10.00 seconds",0
2018-04-25 11:47:26.210 +0530,"Running",0:00:00,0,0,0,"20180425_114726.210/LogFile.txt","","",0
2018-04-25 11:47:50.743 +0530,"Failure",0:01:51,1,0,1,"20180425_114750.743/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""address_bar2""",0
2018-04-25 11:50:02.938 +0530,"Failure",0:01:29,1,0,1,"20180425_115002.938/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""address_bar2""",0
2018-04-25 11:52:20.290 +0530,"Failure",0:00:22,1,0,1,"20180425_115220.290/LogFile.txt","","Image Not Found -- doubleclick Error - No Image Found On Screen: ""chrome_good_image""",0
2018-04-25 11:52:47.818 +0530,"Running",0:00:00,0,0,0,"20180425_115247.818/LogFile.txt","","",0
2018-04-25 11:53:29.851 +0530,"Running",0:00:00,0,0,0,"20180425_115329.851/LogFile.txt","","",0
2018-04-25 11:53:58.048 +0530,"Running",0:00:00,0,0,0,"20180425_115358.048/LogFile.txt","","",0
2018-04-25 11:54:41.826 +0530,"Running",0:00:00,0,0,0,"20180425_115441.826/LogFile.txt","","",0
2018-04-25 11:56:24.362 +0530,"Failure",0:00:22,1,0,1,"20180425_115624.362/LogFile.txt","","Image Not Found -- doubleclick Error - No Image Found On Screen: ""chrome_good_image""",0
2018-04-25 11:56:52.023 +0530,"Running",0:00:00,0,0,0,"20180425_115652.023/LogFile.txt","","",0
2018-04-25 11:57:45.865 +0530,"Failure",0:00:15,1,0,1,"20180425_115745.865/LogFile.txt","","Image Not Found -- doubleclick Error - No Image Found On Screen: ""chrome_good_image""",0
2018-04-25 11:58:27.593 +0530,"Failure",0:00:24,1,0,1,"20180425_115827.593/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""address_bar2""",0
2018-04-25 11:59:08.495 +0530,"Success",0:00:22,0,0,0,"20180425_115908.495/LogFile.txt","","",1
2018-04-25 11:59:44.792 +0530,"Success",0:00:20,0,0,0,"20180425_115944.792/LogFile.txt","","",1
2018-04-25 12:00:26.820 +0530,"Failure",0:00:44,1,0,1,"20180425_120026.820/LogFile.txt","","Image Not Found -- waitfor Error - Unable To Find Any Image On Screen ""one_plus"" within 10.00 seconds",0
2018-04-25 12:01:18.942 +0530,"Running",0:00:00,0,0,0,"20180425_120118.942/LogFile.txt","","",0
2018-04-25 12:01:33.012 +0530,"Running",0:00:00,0,0,0,"20180425_120133.012/LogFile.txt","","",0
2018-04-25 12:02:25.094 +0530,"Failure",0:00:23,1,0,1,"20180425_120225.094/LogFile.txt","","Image Not Found -- doubleclick Error - No Image Found On Screen: ""chrome_good_image""",0
2018-04-25 12:02:59.728 +0530,"Failure",0:00:44,1,0,1,"20180425_120259.728/LogFile.txt","","Image Not Found -- waitfor Error - Unable To Find Any Image On Screen ""one_plus"" within 10.00 seconds",0
2018-04-25 12:04:20.420 +0530,"Running",0:00:00,0,0,0,"20180425_120420.420/LogFile.txt","","",0
2018-04-25 12:04:40.453 +0530,"Running",0:00:00,0,0,0,"20180425_120440.453/LogFile.txt","","",0
2018-04-25 12:07:59.910 +0530,"Failure",0:00:28,1,0,1,"20180425_120759.910/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""address_bar2""",0
2018-04-25 12:08:44.421 +0530,"Failure",0:00:45,1,0,1,"20180425_120844.421/LogFile.txt","","Image Not Found -- waitfor Error - Unable To Find Any Image On Screen ""one_plus"" within 10.00 seconds",0
2018-04-25 12:15:02.816 +0530,"Failure",0:00:52,1,0,1,"20180425_121502.816/LogFile.txt","","Image Not Found -- waitfor Error - Unable To Find Any Image On Screen ""one_plus"" within 10.00 seconds",0
2018-04-25 12:16:54.849 +0530,"Success",0:01:28,0,0,0,"20180425_121654.849/LogFile.txt","","",1
2018-04-25 12:18:29.914 +0530,"Success",0:00:29,0,0,0,"20180425_121829.914/LogFile.txt","","",1
2018-04-25 12:19:10.466 +0530,"Running",0:00:00,0,0,0,"20180425_121910.466/LogFile.txt","","",0
2018-04-25 12:21:26.397 +0530,"Running",0:00:00,0,0,0,"20180425_122126.397/LogFile.txt","","",0
2018-04-25 12:21:57.468 +0530,"Success",0:00:30,0,0,0,"20180425_122157.468/LogFile.txt","","",1
2018-04-25 13:37:21.741 +0530,"Failure",0:00:53,1,0,1,"20180425_133721.741/LogFile.txt","","Image Not Found -- waitfor Error - Unable To Find Any Image On Screen ""one_plus"" within 10.00 seconds",0
2018-04-25 15:06:16.423 +0530,"Failure",0:00:23,1,0,1,"20180425_150616.423/LogFile.txt","","File Not Found -- imagefound Error - Could Not Open Image: (empty)",0
